name,prep_time,cook_time,total_time,step_one,step_two,step_three
Lentil Potato Soup,15,45,60,Set a pot or dutch oven over medium heat with the butter inside. ,"Add potatoes, chopped celery, carrots, finely chopped onion, and garlic for several minutes until softened and brown.","Add dried lentils, chicken broth, crushed black pepper."
White Chicken Chili,5,10,15,Combine all ingredients into a pot and bring to a boil.,Salt and pepper to taste and serve immediately or store.,Serve with garnish of choice.
Easy Chili,5,30,35,Mix ingredients together in pot.,"Bring the mixture to a boil over medium-heat, then reduce heat to medium-low and let simmer for about 30 minutes.","Add salt and pepper to taste. Then enjoy with your favorite toppings such as shredded cheese, sour cream, chopped tortilla chips and green onions."
Chicken Tortilla ,5,15,20,"In a large soup pot, combine all ingredients and stir together. ","Heat to boiling over medium-high heat. Once boiling, turn heat to low, cover with lid and let it simmer for 10-20 minutes. ",Serve with all your favorite toppings. 
Cream of Broccoli,14,20,34,"Combine onion and garlic in a 2-quart saucepan with 1/4 cup of water. Simmer until onion is soft, about 10 minutes; spoon vegetables into a large pot.","Add broccoli and broth to pot; bring to a boil over high heat. Once soup boils, reduce heat and simmer until broccoli is soft but still green, about 8 minutes. Do not cover pot while broccoli is cooking or it will turn gray.",Remove soup from heat. Puree until smooth in batches in a blender (be careful not to splatter hot liquid) or puree in pot using an immersion blender. Add evaporated milk and hot pepper sauce to soup. Season to taste with salt and pepper. Yields about 1 3/4 cups per serving.
Egg Drop,7,13,20,"Mix 3 1/2 cups chicken stock, ginger, garlic salt and pepper in a saucepan over medium-high heat. Stir cornstarch into the remaining 1/2 cup chicken stock and set aside.","In a small bowl, whisk eggs. Set aside. When seasoned chicken stock comes to a boil, add in cornstarch mixture. Stir. Add sliced scallions.","Bring broth to a rolling boil. Once achieved, stir broth with a non-slotted spoon in one direction. While stirring, slowly pour in eggs. Eggs will cook as soon as they hit the broth. Top with extra scallions if desired."
Miso Soup,10,5,15,"Cook root vegetables first, then add softer ingredients.",Add miso right before eating.,Never let miso soup come to a rolling boil.
Chicken Noodle ,30,120,150,"Heat the olive oil in a large skillet over medium heat and add the mushrooms. Cook for about 3 minutes, then increase the heat to high and add the lemon juice. Continue to cook until most of the liquid has left the mushrooms, then drain them and set them aside.","Strain the chicken stock through a fine sieve and remove chicken carcass and veggies. Put the strained chicken stock back in the stockpot and add the bite-sized pieces of carrots, celery, and white part of the leek. Bring to a boil, then reduce the heat and simmer for about 20 minutes, or until the veggies begin to just soften.","Add chicken and mushrooms to the pot, and cook for another 10 minutes on medium-high heat until boiling before adding the egg noodles for 1 to 2 minutes."
Vegetable ,30,30,60,"Puree water, beans, tomato paste, and 1/3 cup of the diced tomatoes.","Once your puree is ready and in the large soup pot, cover it and bring to a full boil. Then, add the potatoes and carrots first to give them some extra time to cook through. (If you are adding uncooked pasta, now is the time as well.) Let them cook on their own a few minutes while you gather the rest of your ingredients to go in the pot.","Add the rest of the ingredients and bring back to a boil for about 5 minutes. Then, turn down the heat and simmer covered for 20-30 minutes (until potatoes and carrots are soft)."
Ground Beef,5,85,90,"In a large soup pot, brown ground beef. Drain fat.","Pour in water, onion soup mix and tomatoes with juice. Simmer for 1 hour on medium low.",Add pasta and vegetables. Cook 15 minutes longer on medium heat. Serve hot.
Roasted Tomato,5,30,35,Quarter the tomatoes and slice the onions. Place the chopped onions and tomatoes in a roasting tin and drizzle with some olive oil and toss them well. Scatter with 10 sprigs of thyme and add 6 peeled cloves of garlic.,Roast the tomatoes in the oven until they start to soften and turn sweet and the onions start to char on the edges (about 30 minutes),"Once the tomatoes are roasted, add all the contents of the tray to a blender and add a large handful of basil. Blend until the soup is smooth and creamy. Add some vegetable broth or water (if required) until your soup is a perfect consistency."
Tuscan Style Chicken,15,45,60,"Heat the oil in a large saucepan. Add the onion and cook for 10 minutes on a low-medium heat, stirring occasionally until softened. Add the garlic and thyme and cook for a further 2 minutes. Add the celery, carrots and potatoes, stir, then add in the chicken stock, salt and pepper. Bring to the boil, then simmer for 20 minutes.","Add in the drained beans and cook for a further 5 minutes. Add the shredded chicken and heat through for 2-3 minutes, then add the kale. Stir and simmer for 1-2 minutes until the kale has wilted. Test and season with more salt and pepper if needed.","Divide between four bowls, topped with fresh parsley, grated parmesan and a couple of sprigs of fresh thyme. Serve with some toasted granary bread."
Black Bean,5,10,15,"In a large pot, add in your black beans, including the liquid in the can. Add the tomatoes and salsa, cumin, and chili powder.","Cook over low heat for 10-15 minutes, then remove from heat and let cool slightly before serving.","When ready to serve, top with sliced avocado or a sprinkle of fresh cilantro, if you're using additional toppings!"
Tomato Soup,5,50,55,"In a large saucepan, heat the oil over medium high heat. Add the onions; reduce heat to medium and cook, stirring occasionally, for 8 to 10 minutes until deep golden brown. Place the onions and tomatoes in a high-speed blender or food processor and blend until smooth (entirely or mostly smooth, it is up to you).",Pour the tomato mixture back into the saucepan used to cook the onions. Stir in the water and 1/4 teaspoon salt.,"Bring soup to a low boil over medium-high heat; reduce heat to low and simmer, uncovered, for 35 to 40 minutes until thickened slightly. Adjust salt to taste, as desired."
Lentil Soup,5,35,40,"Heat the olive oil in a medium pot over medium heat. Add the garlic. Stir and cook until the garlic is light golden brown, 3-4 minutes.","Add the water and lentils. Turn to medium-high heat. When the water begins to boil, reduce to low heat and cover the pot. Simmer until the lentils are tender, 20-30 minutes (depends on the type of lentil).","Stir 2 Tablespoons of miso into the soup, using a fork or whisk to make sure it dissolves, and taste the soup. If you'd like it saltier, stir in up to 1 more Tablespoon. Garnish as desired and serve immediately."
